location,price,total_sqft,No. of Bedrooms,School,24X7Security,CarParking,Hospital,LiftAvailable
Gachibowli,8168000,1900,3,0,0,0,0,0
Gachibowli,8168000,1900,3,0,0,0,0,1
Gachibowli,7802000,1815,2,0,0,0,0,1
Gachibowli,5373000,1250,2,0,0,0,0,1
Moosapet,7400000,1530,3,0,0,0,0,1
Balanagar,7400000,1530,3,0,0,0,0,1
Kokapet,8903000,1535,3,0,1,1,0,1
Kokapet,20200000,3380,4,0,1,1,0,1
Kokapet,20200000,3380,4,0,1,1,0,1
Kokapet,10800000,1875,3,0,1,1,0,1
Kokapet,10800000,1875,3,0,1,1,0,1
Kokapet,15200000,2540,3,0,1,1,0,1
Kokapet,15200000,2540,3,0,1,1,0,1
Kokapet,15200000,2630,4,0,1,1,0,1
Kokapet,15200000,2630,4,0,1,1,0,1
Jubilee Hills,47200000,4500,4,0,0,0,0,0
Kokapet,21500000,3380,4,0,1,1,0,1
Manikonda,12000000,2700,3,0,0,0,0,1
Tellapur,10000000,1792,3,0,1,1,0,1
Tellapur,9500000,1673,3,0,1,1,0,1
Narsingi,10700000,1665,3,0,1,1,0,1
Narsingi,10700000,1640,3,0,1,1,0,1
Narsingi,10700000,1640,3,0,1,1,0,1
raidurgam,11500000,1665,3,0,0,0,0,1
Banjara Hills,17000000,2200,3,0,0,0,0,0
Pragathi Nagar Kukatpally,4000000,1170,2,0,0,0,0,0
Pragathi Nagar Kukatpally,4000000,1170,2,0,0,0,0,0
Banjara Hills,8500000,1600,4,0,0,0,0,1
Miyapur,8600000,1644,3,0,0,0,0,0
Miyapur,8599000,1644,3,0,0,0,0,0
Miyapur,8898000,1687,3,0,0,0,0,0
Miyapur,8599000,1650,3,0,0,0,0,0
Miyapur,8298999,1554,3,0,0,0,0,0
Miyapur,8598000,1684,3,0,0,0,0,0
Miyapur,8898000,1650,3,0,0,0,0,0
Murad Nagar,4200000,970,2,0,0,0,0,0
Murad Nagar,4200000,970,2,0,0,0,0,0
Tellapur,10000000,2240,3,0,1,0,0,1
Puppalaguda,3900000,1050,3,0,0,0,0,0
Tellapur,10000000,2240,3,0,0,0,0,1
Tellapur,9900000,2240,3,0,1,0,0,1
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4400000,1100,2,0,0,0,0,0
Chandanagar,7840000,1600,3,0,0,0,0,1
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4400000,1100,2,0,0,0,0,0
Hitech City,8600000,1150,2,0,0,0,0,1
Manikonda,6800000,1415,3,0,0,0,0,1
Banjara Hills,18500000,1980,3,0,0,0,0,0
Nizampet,4400000,1100,2,0,0,0,0,0
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4400000,1100,2,0,0,0,0,0
Chandanagar,7840000,1600,3,0,0,0,0,1
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4400000,1100,2,0,0,0,0,0
Hitech City,8600000,1150,2,0,0,0,0,1
Chandanagar,5880000,1200,2,0,0,0,0,1
Nizampet,4400000,1100,2,0,0,0,0,0
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4400000,1100,2,0,0,0,0,0
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4760000,1190,2,0,0,0,0,0
Nizampet,4760000,1190,2,0,0,0,0,0
Kukatpally,9906000,1905,3,1,1,1,1,1
Kukatpally,10000000,1925,3,1,1,1,1,1
Uppal Kalan,6187000,1482,3,0,0,0,0,1
Nizampet,3800000,1100,2,0,0,0,0,1
East Marredpally,11500000,1800,3,0,0,0,0,0
East Marredpally,12000000,1800,3,0,0,0,0,0
Mallampet,4641000,1105,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Banjara Hills,18500000,1980,3,0,0,0,0,0
Hitech City,8600000,1150,2,0,0,0,0,1
Manikonda,6800000,1415,3,0,0,0,0,1
Kukatpally,11100000,1730,3,0,0,0,0,0
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Kondapur,7847000,1165,2,0,1,1,0,1
Aminpur,4400000,1100,2,0,0,0,0,1
Kondapur,10000000,1535,3,0,1,1,0,1
Aminpur,4400000,1110,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Tellapur,9900000,2240,3,0,1,0,0,1
Manikonda,6500000,1278,2,0,0,0,0,1
Attapur,7500000,1406,3,0,0,0,0,1
Mallapur,6500000,1190,2,0,0,0,0,1
Pragathi Nagar Kukatpally,5300000,1215,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Hitech City,8600000,1150,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Mallampet,4641000,1105,2,0,0,0,0,1
Kondapur,10700000,1770,3,0,1,1,0,1
Alwal,4840000,1210,2,0,0,0,0,1
Gajularamaram,4542000,1010,2,0,0,0,0,0
Serilingampally,8100000,1620,3,0,0,0,0,1
Gajularamaram,6931000,1555,3,0,0,0,0,1
